Campus,Location,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year,% students found
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873","1,825","$75,703","$97,909","$120,672","$98,890","1,681",1,92.11%
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873","1,734","$80,201","$102,433","$125,647","$103,490","1,568",2,90.43%
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873","1,609","$83,019","$106,262","$130,625","$107,095","1,434",3,89.12%
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873","1,504","$83,388","$108,996","$134,019","$108,415","1,325",4,88.10%
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873","1,376","$83,180","$111,655","$136,311","$110,678","1,202",5,87.35%
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873","1,239","$85,993","$113,617","$141,511","$113,402","1,062",6,85.71%
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873","1,116","$86,118","$117,146","$144,157","$115,975",931,7,83.42%
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873",987,"$87,341","$116,279","$146,712","$117,021",817,8,82.78%
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873",895,"$85,324","$114,363","$143,292","$114,350",730,9,81.56%
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873",821,"$88,766","$115,656","$144,631","$116,737",656,10,79.90%
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873",741,"$89,291","$118,226","$146,444","$119,098",568,11,76.65%
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873",660,"$88,029","$117,212","$151,306","$118,320",489,12,74.09%
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873",614,"$87,885","$120,451","$150,632","$119,808",440,13,71.66%
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873",555,"$89,760","$118,051","$150,997","$120,679",381,14,68.65%
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,873",504,"$89,642","$116,111","$146,986","$117,974",327,15,64.88%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,606,"$13,849","$24,853","$37,122","$28,212",434,1,71.62%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,535,"$19,019","$33,664","$47,697","$36,275",373,2,69.72%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,473,"$22,070","$39,776","$55,871","$40,962",307,3,64.90%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,393,"$26,188","$45,614","$63,224","$46,873",254,4,64.63%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,334,"$30,177","$51,335","$72,158","$54,082",204,5,61.08%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,291,"$32,505","$54,811","$77,459","$57,274",167,6,57.39%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,261,"$34,589","$59,092","$79,810","$60,774",142,7,54.41%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,246,"$35,810","$63,455","$82,170","$61,524",132,8,53.66%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,225,"$34,592","$60,455","$88,321","$64,457",110,9,48.89%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,210,"$40,080","$67,437","$90,411","$71,283",101,10,48.10%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,199,"$41,046","$68,890","$102,904","$76,676",96,11,48.24%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,188,"$40,130","$76,225","$115,170","$79,748",91,12,48.40%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,173,"$47,532","$80,041","$115,682","$86,502",78,13,45.09%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,154,"$57,352","$89,590","$117,564","$87,949",66,14,42.86%
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,133,"$63,523","$93,019","$128,002","$93,527",48,15,36.09%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,14,"$13,867","$39,539","$51,556","$34,530",8,1,57.14%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,14,"$20,774","$37,253","$89,151","$49,478",7,2,50.00%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,13,"$12,445","$23,325","$53,007","$35,280",8,3,61.54%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,10,"$34,522","$43,911","$82,132","$54,606",5,4,50.00%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,10,"$31,120","$34,713","$92,790","$55,585",5,5,50.00%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,9,"$8,740","$29,036","$38,968","$40,619",5,6,55.56%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,8,,,,,3,7,37.50%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,7,,,,,2,8,28.57%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,7,,,,,2,9,28.57%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,7,,,,,2,10,28.57%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,7,,,,,2,11,28.57%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,7,,,,,2,12,28.57%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,7,,,,,2,13,28.57%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,7,,,,,2,14,28.57%
55,Dominguez Hills,1,FTF + FTT,04111,04111,Microbiology,15,5,,,,,,15,
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,85,"$11,240","$20,862","$32,887","$24,258",56,1,65.88%
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,72,"$11,517","$29,681","$45,860","$31,831",45,2,62.50%
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,60,"$28,198","$40,928","$57,013","$41,858",34,3,56.67%
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,49,"$23,638","$48,892","$57,160","$47,114",25,4,51.02%
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,39,"$33,744","$49,516","$70,898","$56,310",20,5,51.28%
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,32,"$36,536","$54,135","$80,327","$71,004",16,6,50.00%
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,28,"$36,045","$76,007","$89,946","$78,963",12,7,42.86%
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,22,"$32,115","$87,150","$96,976","$84,617",8,8,36.36%
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,18,,,,,4,9,22.22%
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,17,,,,,4,10,23.53%
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,17,"$91,483","$99,683","$109,152","$88,695",5,11,29.41%
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,15,,,,,3,12,20.00%
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,15,,,,,3,13,20.00%
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,13,,,,,1,14,7.69%
55,Dominguez Hills,1,FTF + FTT,04141,04141,Biochemistry,94,12,,,,,,15,
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,20,"$15,396","$28,112","$64,819","$42,411",15,1,75.00%
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,18,"$16,229","$42,162","$99,282","$58,921",11,2,61.11%
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,17,"$22,383","$41,697","$103,524","$73,249",11,3,64.71%
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,15,"$26,101","$94,955","$107,116","$91,876",9,4,60.00%
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,13,"$30,362","$82,689","$111,214","$90,626",8,5,61.54%
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,13,"$58,318","$77,966","$110,419","$101,118",7,6,53.85%
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,13,"$67,172","$81,114","$99,158","$84,316",6,7,46.15%
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,13,"$70,731","$89,799","$109,571","$92,206",7,8,53.85%
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,12,"$75,174","$97,220","$127,317","$92,625",7,9,58.33%
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,10,"$64,692","$92,132","$122,874","$86,863",5,10,50.00%
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,10,"$16,041","$86,631","$112,462","$78,096",5,11,50.00%
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,10,,,,,4,12,40.00%
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,10,"$72,876","$73,328","$90,219","$97,073",5,13,50.00%
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,8,,,,,3,14,37.50%
55,Dominguez Hills,1,FTF + FTT,04152,04152,Biomedical Physics,22,5,,,,,,15,
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","5,189","$20,928","$36,244","$51,797","$39,136","4,398",1,84.76%
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","4,756","$28,142","$44,758","$60,815","$46,523","3,953",2,83.12%
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","4,328","$31,998","$48,740","$65,472","$50,717","3,493",3,80.71%
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","3,899","$33,968","$52,354","$69,937","$54,196","3,076",4,78.89%
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","3,534","$38,138","$55,913","$74,322","$58,550","2,696",5,76.29%
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","3,172","$39,347","$58,376","$79,368","$61,447","2,381",6,75.06%
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","2,846","$40,644","$61,005","$82,716","$64,423","2,092",7,73.51%
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","2,523","$42,762","$63,276","$86,755","$67,743","1,793",8,71.07%
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","2,252","$44,085","$64,759","$88,810","$69,717","1,566",9,69.54%
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","2,071","$44,820","$67,581","$91,673","$71,747","1,420",10,68.57%
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","1,832","$44,743","$68,971","$94,977","$73,986","1,221",11,66.65%
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","1,636","$44,812","$70,213","$98,078","$75,349","1,064",12,65.04%
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","1,412","$46,189","$73,202","$99,836","$77,136",883,13,62.54%
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","1,259","$50,080","$74,539","$104,749","$79,992",760,14,60.37%
55,Dominguez Hills,1,FTF + FTT,05011,05011,Business Administration,"5,448","1,129","$50,796","$76,174","$108,121","$81,802",686,15,60.76%
55,Dominguez Hills,1,FTF + FTT,05041,05041,Finance,49,48,"$25,394","$40,969","$71,428","$48,214",36,1,75.00%
55,Dominguez Hills,1,FTF + FTT,05041,05041,Finance,49,46,"$38,151","$52,535","$70,340","$58,052",33,2,71.74%
55,Dominguez Hills,1,FTF + FTT,05041,05041,Finance,49,46,"$19,968","$50,388","$65,993","$49,761",33,3,71.74%
55,Dominguez Hills,1,FTF + FTT,05041,05041,Finance,49,45,"$35,668","$56,924","$76,545","$56,039",29,4,64.44%
