Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Retail Trade,1,,,1,,
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Finance & Insurance,3,,,1,,
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Management of Companies & Enterprises,1,,,,,
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Admin & Support & Waste Mgmt & Remediation,16,"$30,719","$29,661",3,,
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Educational Services,31,"$99,530","$95,737",7,"$97,510","$114,357"
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Health Care & Social Assistance,521,"$98,355","$97,321",66,"$95,301","$94,410"
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Accommodation & Food Services,1,,,,,
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Other Services,2,,,,,
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Government,19,"$95,869","$95,290",2,,
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wages - No NAICS Code,1,,,,,
40,1,FTF + FTT,2031,2031,Interior Design,Construction,2,,,,,
40,1,FTF + FTT,2031,2031,Interior Design,Manufacturing,3,,,,,
40,1,FTF + FTT,2031,2031,Interior Design,Wholesale Trade,2,,,,,
40,1,FTF + FTT,2031,2031,Interior Design,Retail Trade,3,,,,,
40,1,FTF + FTT,2031,2031,Interior Design,Information,1,,,,,
40,1,FTF + FTT,2031,2031,Interior Design,"Professional, Scientific, & Technical Skills",32,"$56,082","$51,395",,,
40,1,FTF + FTT,2031,2031,Interior Design,Admin & Support & Waste Mgmt & Remediation,1,,,,,
40,1,FTF + FTT,2031,2031,Interior Design,Educational Services,1,,,,,
40,1,FTF + FTT,2031,2031,Interior Design,Accommodation & Food Services,2,,,,,
40,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Construction,1,,,1,,
40,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Manufacturing,2,,,1,,
40,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Wholesale Trade,4,,,,,
40,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Retail Trade,5,"$30,419","$27,151",2,,
40,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Transportation & Warehousing,2,,,,,
40,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Information,4,,,,,
40,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,Finance & Insurance,4,,,,,
