Campus,Location,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year,% students found
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453","1,365","$44,921","$64,392","$75,957","$60,884","1,236",1,90.55%
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453","1,199","$75,753","$85,758","$94,933","$83,505","1,083",2,90.33%
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453","1,032","$77,357","$90,053","$100,072","$87,686",925,3,89.63%
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453",844,"$79,974","$95,337","$105,692","$91,897",735,4,87.09%
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453",699,"$81,515","$97,789","$111,374","$95,011",596,5,85.26%
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453",558,"$74,338","$98,151","$113,631","$93,617",468,6,83.87%
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453",428,"$72,830","$100,562","$114,058","$94,290",338,7,78.97%
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453",314,"$73,509","$99,054","$115,151","$96,516",228,8,72.61%
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453",215,"$69,517","$102,052","$123,463","$98,229",135,9,62.79%
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453",149,"$69,446","$93,341","$119,035","$94,106",80,10,53.69%
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453",97,"$63,197","$92,284","$107,064","$88,853",39,11,40.21%
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453",58,"$59,604","$97,031","$108,527","$85,627",12,12,20.69%
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453",43,,,,,,13,
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453",43,,,,,,14,
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,453",43,,,,,,15,
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,212,"$24,524","$37,384","$48,237","$35,906",154,1,72.64%
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,179,"$37,923","$48,459","$55,512","$46,376",127,2,70.95%
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,150,"$35,594","$51,994","$60,667","$48,799",104,3,69.33%
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,116,"$38,261","$54,838","$66,902","$52,994",68,4,58.62%
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,98,"$39,319","$56,042","$69,897","$54,903",47,5,47.96%
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,76,"$44,522","$64,333","$77,377","$62,633",34,6,44.74%
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,56,"$32,513","$66,825","$79,966","$60,660",19,7,33.93%
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,38,"$19,075","$69,955","$96,169","$64,622",7,8,18.42%
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,29,,,,,1,9,3.45%
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,27,,,,,,10,
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,27,,,,,,11,
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,27,,,,,,12,
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,27,,,,,,13,
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,27,,,,,,14,
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,27,,,,,,15,
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,118,"$10,434","$19,682","$30,871","$21,734",80,1,67.80%
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,98,"$11,522","$28,229","$43,014","$28,311",69,2,70.41%
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,82,"$16,831","$34,493","$50,205","$34,428",56,3,68.29%
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,73,"$12,461","$36,311","$52,678","$38,039",52,4,71.23%
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,59,"$25,164","$41,446","$54,857","$43,569",40,5,67.80%
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,49,"$20,239","$40,958","$53,404","$47,567",33,6,67.35%
