Campus,Location,Select Student Path,Select Entry Status,HEGIS At Exit,HEGIS for Tableau,Select Major at Exit,Potential # of Students,Number of Students Still Enrolled,# of Students Found with Earnings in at Least 1 Qtr,Median Annual Earnings in at Least 1 Qtr,# of Students Found with Earnings in all 4 Qtrs,Median Annual Earnings in all 4 Qtrs,Year
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,164,112,"$8,927",75,"$11,416",1
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,164,121,"$9,155",81,"$11,626",2
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,38,25,"$8,801",17,"$12,279",3
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,17,12,"$6,359",8,"$7,414",4
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,5,3,,1,,5
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,2,1,,1,,6
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,,,,,,7
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,,,,,,8
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,,,,,,9
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,,,,,,10
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,,,,,,11
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,,,,,,12
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,,,,,,13
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,,,,,,14
73,Channel Islands ,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,,,,,,15
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,684,463,"$8,096",276,"$13,801",1
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,565,395,"$8,173",229,"$12,958",2
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,382,279,"$7,800",166,"$12,956",3
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,213,149,"$7,958",86,"$13,151",4
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,58,40,"$10,169",27,"$14,140",5
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,11,3,,3,,6
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,4,1,,,,7
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,2,,,,,8
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,,,,,,9
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,,,,,,10
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,,,,,,11
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,,,,,,12
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,,,,,,13
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,,,,,,14
73,Channel Islands ,1,FTF + FTT,04011,04011,Biology,684,,,,,,15
73,Channel Islands ,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,57,42,"$11,888",24,"$14,765",1
73,Channel Islands ,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,49,37,"$7,628",23,"$17,377",2
73,Channel Islands ,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,24,19,"$7,584",8,"$20,458",3
73,Channel Islands ,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,11,9,"$3,307",3,,4
73,Channel Islands ,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,3,2,,2,,5
73,Channel Islands ,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,,,,,,6
73,Channel Islands ,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,,,,,,7
73,Channel Islands ,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,,,,,,8
73,Channel Islands ,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,,,,,,9
73,Channel Islands ,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,,,,,,10
73,Channel Islands ,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,,,,,,11
73,Channel Islands ,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,,,,,,12
73,Channel Islands ,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,,,,,,13
