Campus,Location,Select Student Path,Select Entry Status,HEGIS At Exit,HEGIS For Tableau,Select Major at Exit,Potential # of Students,Number of Students Still Enrolled,# of Students Found with Earnings in at Least 1 Qtr,Median Annual Earnings in at Least 1 Qtr,# of Students Found with Earnings in all 4 Qtrs,Median Annual Earnings in all 4 Qtrs,Year
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,201,166,"$75,416",144,"$79,522",1
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,137,125,"$86,937",111,"$89,502",2
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,67,59,"$74,650",53,"$88,382",3
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,39,34,"$37,860",28,"$48,279",4
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,28,24,"$30,941",18,"$62,154",5
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,25,21,"$52,229",17,"$72,228",6
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,19,19,"$73,575",18,"$74,127",7
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,15,15,"$82,888",14,"$83,520",8
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,13,13,"$72,164",11,"$82,210",9
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,8,8,"$82,666",6,"$91,377",10
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,5,5,"$35,489",3,,11
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,3,3,,3,,12
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,2,2,,2,,13
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,2,2,,2,,14
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,201,2,2,,2,,15
70,Northridge,1,FTF + FTT,04011,04011,Biology,"1,797","1,797","1,127","$8,527",640,"$14,056",1
70,Northridge,1,FTF + FTT,04011,04011,Biology,"1,797","1,586","1,031","$9,816",652,"$14,353",2
70,Northridge,1,FTF + FTT,04011,04011,Biology,"1,797","1,249",816,"$10,598",541,"$14,284",3
70,Northridge,1,FTF + FTT,04011,04011,Biology,"1,797",941,620,"$10,158",399,"$14,620",4
