,,,,,,,,,
,,,,,,,,,
HEGIS At Exit,Major,,,,,,,,
00000,"Undeclared/Unknown, Graduate Degree",,,,,,,,
01011,"Agriculture/Agricultural Science and Education, Graduate Degree",,,,,,,,
01012,"Agriculture/Agricultural Science and Education, Graduate Degree",,,,,,,,
01021,"Agriculture/Agricultural Science and Education, Graduate Degree",,,,,,,,
01031,"Agriculture/Agricultural Science and Education, Graduate Degree",,,,,,,,
01041,"Animal Science, Graduate Degree",,,,,,,,
01091,"Agriculture/Agricultural Science and Education, Graduate Degree",,,,,,,,
01991,"Agricultural Biology and Plant & Irrigation Science, Graduate Degree",,,,,,,,
01993,"Agricultural Biology and Plant & Irrigation Science, Graduate Degree",,,,,,,,
02021,"Architecture, Graduate Degree",,,,,,,,
02041,"Landscape Architecture, Graduate Degree",,,,,,,,
02061,"City and Regional Planning, Graduate Degree",,,,,,,,
03011,"Asian/East Asian Studies, Graduate Degree",,,,,,,,
03021,"Asian/East Asian Studies, Graduate Degree",,,,,,,,
03081,"Latin/Central American Studies, Graduate Degree",,,,,,,,
03131,"American Studies, Graduate Degree",,,,,,,,
04011,"Biology, Graduate Degree",,,,,,,,
04111,"Microbiology, Graduate Degree",,,,,,,,
04141,"Biochemistry, Graduate Degree",,,,,,,,
04991,"Biotechnology, Graduate Degree",,,,,,,,
05011,"Business Administration, Graduate Degree",,,,,,,,
05021,"Accounting, Graduate Degree",,,,,,,,
05022,"Taxation, Graduate Degree",,,,,,,,
05041,"Finance, Graduate Degree",,,,,,,,
05061,"Management, Graduate Degree",,,,,,,,
05065,"Management Information Technology, Graduate Degree",,,,,,,,
05072,"Management Systems Analysis / Operations Research, Graduate Degree",,,,,,,,
05091,"Marketing, Graduate Degree",,,,,,,,
05992,"Public Relations, Graduate Degree",,,,,,,,
06011,"Communications, Graduate Degree",,,,,,,,
06021,"Journalism, Graduate Degree",,,,,,,,
06031,"Radio/Television/Broadcast, Graduate Degree",,,,,,,,
06034,"Screenwriting, Graduate Degree",,,,,,,,
06041,"Advertising, Graduate Degree",,,,,,,,
07011,"Computer Science and Information Technology, Graduate Degree",,,,,,,,
07021,"Information Systems, Graduate Degree",,,,,,,,
07052,"Software Engineering, Graduate Degree",,,,,,,,
08011,"Education, Graduate Degree",,,,,,,,
08021,"Elementary Education, Graduate Degree",,,,,,,49993,Interdis Stds/Special Major
08031,"Secondary Education, Graduate Degree",,,,,,,,
08051,"Higher Education, Graduate Degree",,,,,,,,
08081,"Special Education, Graduate Degree",,,,,,,,
08211,"Foundations of Education, Graduate Degree",,,,,,,,
08221,"Educational Psychology, Graduate Degree",,,,,,,,
08231,"Child Development, Graduate Degree",,,,,,,,
08261,"Counseling and Guidance, Graduate Degree",,,,,,,,
08271,"Educational Administration, Graduate Degree",,,,,,,,
08272,"Educational Leadership (EdD), Graduate Degree",,,,,,,,
08273,"Educational Leadership (EdD), Graduate Degree",,,,,,,,
08291,"Curriculum and Instruction, Graduate Degree",,,,,,,,
08301,"Reading Language Arts Instruction, Graduate Degree",,,,,,,,
08351,"Kinesiology/Physical Education, Graduate Degree",,,,,,,,
08355,"Exercise Physiology, Graduate Degree",,,,,,,,
