Campus,Location,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School, 25th Percentile Earnings, 50th Percentile Earnings, 75th Percentile Earnings,Average Earnings,# of Students Found,Year,% students found
10,Pomona,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,284," $16,756 "," $31,092 "," $47,987 "," $34,250 ",208,1,73.24%
10,Pomona,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,262," $27,020 "," $42,299 "," $58,247 "," $43,303 ",190,2,72.52%
10,Pomona,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,250," $32,799 "," $52,017 "," $65,568 "," $49,662 ",175,3,70.00%
10,Pomona,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,230," $35,956 "," $52,624 "," $70,096 "," $52,851 ",160,4,69.57%
10,Pomona,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,221," $39,934 "," $58,424 "," $78,492 "," $59,557 ",147,5,66.52%
10,Pomona,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,217," $39,644 "," $61,260 "," $82,202 "," $61,422 ",144,6,66.36%
10,Pomona,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,209," $45,256 "," $66,365 "," $82,486 "," $65,625 ",125,7,59.81%
10,Pomona,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,207," $46,144 "," $64,884 "," $83,545 "," $66,741 ",124,8,59.90%
10,Pomona,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,198," $44,517 "," $66,836 "," $87,735 "," $67,992 ",123,9,62.12%
10,Pomona,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,185," $44,753 "," $68,486 "," $91,212 "," $68,837 ",116,10,62.70%
10,Pomona,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,171," $40,617 "," $69,684 "," $93,677 "," $69,805 ",102,11,59.65%
