Campus,Student Path,Entry Stat,HEGIS At Exit,Hegis For Tableau,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year,% Found,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","5,229","$60,039","$83,258","$107,938","$85,053","4,758",1,91.0%,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","4,806","$77,683","$93,670","$114,803","$96,714","4,315",2,89.8%,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","4,299","$80,297","$97,817","$120,895","$100,721","3,814",3,88.7%,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","3,793","$82,356","$101,791","$127,133","$103,971","3,308",4,87.2%,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","3,320","$82,738","$105,751","$130,707","$106,977","2,855",5,86.0%,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","2,861","$84,628","$109,454","$135,839","$109,701","2,398",6,83.8%,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","2,457","$84,367","$111,110","$137,779","$111,690","2,004",7,81.6%,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","2,108","$86,142","$113,480","$142,210","$114,280","1,671",8,79.3%,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","1,782","$85,550","$114,424","$143,204","$114,274","1,379",9,77.4%,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","1,543","$87,327","$115,009","$144,459","$115,651","1,160",10,75.2%,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","1,340","$88,806","$118,008","$147,479","$118,560",959,11,71.6%,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","1,171","$89,196","$117,706","$150,258","$118,189",808,12,69.0%,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","1,010","$87,988","$119,003","$150,758","$119,681",656,13,65.0%,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",918,"$87,684","$117,810","$150,997","$119,971",565,14,61.5%,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",809,"$90,803","$118,295","$147,640","$118,207",462,15,57.1%,,
