Campus,Location,Student Path,Entry Stat,HEGIS at Exit,HEGIS For Tableau,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,Construction,1,,,,,
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,Admin & Support & Waste Mgmt & Remediation,1,,,,,
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,Educational Services,1,,,,,
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,Health Care & Social Assistance,61,"$99,134","$91,953",,,
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,Other Services,1,,,,,
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,Government,6,"$87,394","$85,298",,,
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Mining,1,,,,,
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Utilities,2,,,1,,
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Construction,,,,1,,
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Manufacturing,32,"$74,626","$64,734",6,"$77,981","$76,539"
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Wholesale Trade,2,,,2,,
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Retail Trade,12,"$39,502","$43,952",5,"$65,987","$51,472"
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Transportation & Warehousing,1,,,,,
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Information,1,,,,,
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Finance & Insurance,2,,,2,,
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Real Estate & Rental & Leasing,3,,,,,
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,"Professional, Scientific, & Technical Skills",23,"$56,676","$54,741",7,"$78,933","$69,775"
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Admin & Support & Waste Mgmt & Remediation,14,"$54,281","$55,422",3,,
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Educational Services,13,"$54,165","$46,458",6,"$63,523","$61,105"
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Health Care & Social Assistance,40,"$63,352","$69,640",12,"$99,451","$86,477"
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,"Arts, Entertainment, & Recreation",4,,,,,
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Accommodation & Food Services,6,"$15,597","$13,784",1,,
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,Other Services,1,,,,,
