Campus,Location,Student Path,Entry Stat,HEGIS At Exit,HEGIS for Tableau,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year,% students found
50,Fullerton,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,761","1,657","$63,740","$89,984","$111,709","$90,050","1,496",1,90.28%
50,Fullerton,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,761","1,517","$78,254","$96,841","$118,067","$99,436","1,345",2,88.66%
50,Fullerton,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,761","1,335","$80,875","$100,110","$125,339","$103,513","1,171",3,87.72%
50,Fullerton,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,761","1,152","$83,048","$104,427","$133,428","$107,198",996,4,86.46%
50,Fullerton,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,761",992,"$84,406","$107,607","$137,617","$110,536",842,5,84.88%
50,Fullerton,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,761",837,"$88,148","$112,485","$141,314","$113,981",683,6,81.60%
50,Fullerton,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,761",722,"$89,200","$114,650","$142,566","$115,869",576,7,79.78%
50,Fullerton,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,761",641,"$89,910","$117,550","$144,920","$117,472",496,8,77.38%
50,Fullerton,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,761",535,"$89,659","$120,698","$147,697","$118,955",406,9,75.89%
50,Fullerton,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,761",488,"$90,133","$116,904","$147,782","$117,817",361,10,73.98%
50,Fullerton,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,761",426,"$91,541","$120,705","$150,011","$121,401",298,11,69.95%
50,Fullerton,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,761",386,"$94,266","$119,833","$150,375","$118,870",260,12,67.36%
50,Fullerton,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,761",294,"$91,994","$117,897","$148,128","$117,401",176,13,59.86%
50,Fullerton,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,761",270,"$82,757","$117,107","$150,539","$114,750",152,14,56.30%
