Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Agriculture, Forestry, Fishing, & Hunting",2,,,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Construction,3,,,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Manufacturing,9,"$119,178","$122,559",6,"$170,645","$147,392"
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wholesale Trade,6,"$121,115","$131,225",1,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Retail Trade,3,,,2,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Transportation & Warehousing,2,,,1,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Information,1,,,1,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Finance & Insurance,27,"$103,759","$105,691",18,"$95,491","$102,491"
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Professional, Scientific, & Technical Skills",13,"$15,751","$43,845",7,"$89,681","$71,936"
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Management of Companies & Enterprises,4,,,3,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Admin & Support & Waste Mgmt & Remediation,59,"$46,704","$54,884",22,"$71,791","$62,967"
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Educational Services,200,"$100,321","$99,484",109,"$102,466","$99,798"
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Health Care & Social Assistance,"2,212","$106,209","$108,318",848,"$118,139","$118,634"
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Arts, Entertainment, & Recreation",4,,,3,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Accommodation & Food Services,4,,,2,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Other Services,6,"$49,258","$63,682",2,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Non-Classified,2,,,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Government,280,"$111,791","$116,456",128,"$123,414","$123,026"
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wages - No NAICS Code,18,"$133,278","$156,479",7,"$106,577","$148,507"
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,"Agriculture, Forestry, Fishing, & Hunting",13,"$66,067","$60,268",10,"$58,584","$59,222"
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Utilities,1,,,1,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Construction,1,,,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Manufacturing,3,,,1,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Wholesale Trade,8,"$78,477","$79,048",10,"$94,985","$87,399"
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Retail Trade,6,"$22,060","$21,901",6,"$20,844","$27,186"
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Transportation & Warehousing,1,,,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Information,2,,,1,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Finance & Insurance,1,,,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Real Estate & Rental & Leasing,,,,1,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,"Professional, Scientific, & Technical Skills",11,"$54,919","$73,879",11,"$65,552","$71,342"
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Admin & Support & Waste Mgmt & Remediation,22,"$61,691","$63,756",16,"$61,003","$58,444"
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Educational Services,19,"$61,652","$49,002",16,"$71,363","$64,614"
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Health Care & Social Assistance,3,,,3,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,"Arts, Entertainment, & Recreation",18,"$74,344","$77,999",12,"$90,416","$103,871"
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Accommodation & Food Services,3,,,4,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Other Services,6,"$40,660","$46,267",3,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Government,22,"$58,033","$61,471",14,"$73,785","$75,037"
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Wages - No NAICS Code,7,"$73,775","$61,000",7,"$46,866","$79,202"
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,"Agriculture, Forestry, Fishing, & Hunting",10,"$32,351","$43,628",1,,
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Utilities,1,,,2,,
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Construction,11,"$14,493","$35,619",4,,
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Manufacturing,24,"$62,260","$64,297",10,"$53,113","$76,761"
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Wholesale Trade,23,"$78,331","$74,004",24,"$98,465","$89,622"
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Retail Trade,26,"$27,697","$32,059",18,"$34,254","$39,687"
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Transportation & Warehousing,,,,4,,
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Information,5,"$24,161","$44,748",,,
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Finance & Insurance,23,"$44,974","$42,448",10,"$59,819","$68,049"
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Real Estate & Rental & Leasing,3,,,2,,
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,"Professional, Scientific, & Technical Skills",317,"$38,250","$38,518",130,"$45,960","$53,380"
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Management of Companies & Enterprises,1,,,1,,
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Admin & Support & Waste Mgmt & Remediation,14,"$44,542","$42,773",12,"$34,852","$40,593"
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Educational Services,44,"$51,664","$50,415",29,"$57,578","$51,256"
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Health Care & Social Assistance,30,"$42,017","$45,210",22,"$46,738","$50,159"
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,"Arts, Entertainment, & Recreation",22,"$31,424","$31,045",10,"$41,960","$37,574"
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Accommodation & Food Services,17,"$20,436","$27,665",4,,
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Other Services,27,"$39,778","$41,171",11,"$32,711","$37,793"
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Government,45,"$57,569","$60,521",33,"$67,748","$63,937"
0,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Wages - No NAICS Code,8,"$46,896","$41,991",5,"$61,517","$52,371"
0,1,FTF + FTT,1121,1121,Agricultural Business,"Agriculture, Forestry, Fishing, & Hunting",10,"$43,126","$47,655",4,,
0,1,FTF + FTT,1121,1121,Agricultural Business,Utilities,1,,,,,
0,1,FTF + FTT,1121,1121,Agricultural Business,Construction,5,"$35,814","$39,131",2,,
0,1,FTF + FTT,1121,1121,Agricultural Business,Manufacturing,23,"$61,174","$62,592",11,"$113,781","$112,613"
0,1,FTF + FTT,1121,1121,Agricultural Business,Wholesale Trade,27,"$64,088","$67,671",11,"$87,422","$85,659"
0,1,FTF + FTT,1121,1121,Agricultural Business,Retail Trade,15,"$44,809","$56,706",4,,
0,1,FTF + FTT,1121,1121,Agricultural Business,Transportation & Warehousing,8,"$54,576","$57,195",1,,
0,1,FTF + FTT,1121,1121,Agricultural Business,Information,2,,,4,,
0,1,FTF + FTT,1121,1121,Agricultural Business,Finance & Insurance,3,,,3,,
0,1,FTF + FTT,1121,1121,Agricultural Business,Real Estate & Rental & Leasing,5,"$31,354","$66,197",1,,
0,1,FTF + FTT,1121,1121,Agricultural Business,"Professional, Scientific, & Technical Skills",21,"$54,669","$52,033",9,"$61,405","$68,056"
0,1,FTF + FTT,1121,1121,Agricultural Business,Management of Companies & Enterprises,3,,,2,,
0,1,FTF + FTT,1121,1121,Agricultural Business,Admin & Support & Waste Mgmt & Remediation,10,"$60,604","$73,735",2,,
0,1,FTF + FTT,1121,1121,Agricultural Business,Educational Services,8,"$18,685","$20,694",4,,
0,1,FTF + FTT,1121,1121,Agricultural Business,Health Care & Social Assistance,8,"$56,183","$64,753",4,,
0,1,FTF + FTT,1121,1121,Agricultural Business,"Arts, Entertainment, & Recreation",9,"$29,999","$36,179",4,,
0,1,FTF + FTT,1121,1121,Agricultural Business,Accommodation & Food Services,9,"$32,592","$30,490",3,,
0,1,FTF + FTT,1121,1121,Agricultural Business,Other Services,4,,,,,
0,1,FTF + FTT,1121,1121,Agricultural Business,Government,19,"$60,764","$61,572",7,"$61,556","$75,128"
0,1,FTF + FTT,1121,1121,Agricultural Business,Wages - No NAICS Code,4,,,1,,
0,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Manufacturing,29,"$59,473","$60,830",8,"$66,767","$73,922"
0,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Wholesale Trade,13,"$66,972","$68,810",7,"$102,753","$94,643"
0,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Retail Trade,4,,,3,,
0,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Transportation & Warehousing,1,,,,,
0,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Information,1,,,,,
0,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,"Professional, Scientific, & Technical Skills",2,,,,,
0,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Management of Companies & Enterprises,2,,,2,,
0,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Admin & Support & Waste Mgmt & Remediation,1,,,1,,
0,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Educational Services,1,,,,,
0,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Health Care & Social Assistance,2,,,1,,
