Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Agriculture, Forestry, Fishing, & Hunting",1,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Construction,2,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Manufacturing,6,"$140,149","$135,301",5,"$166,549","$134,692"
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wholesale Trade,4,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Retail Trade,1,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Transportation & Warehousing,2,,,1,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Information,,,,1,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Finance & Insurance,16,"$107,581","$116,069",13,"$96,328","$112,610"
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Professional, Scientific, & Technical Skills",5,"$13,906","$30,879",6,"$92,148","$74,985"
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Management of Companies & Enterprises,3,,,2,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Admin & Support & Waste Mgmt & Remediation,31,"$63,496","$59,337",14,"$67,245","$66,163"
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Educational Services,85,"$93,227","$97,180",59,"$96,684","$93,161"
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Health Care & Social Assistance,849,"$112,839","$112,262",454,"$120,892","$120,497"
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Arts, Entertainment, & Recreation",1,,,1,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Accommodation & Food Services,1,,,1,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Other Services,2,,,1,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Non-Classified,2,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Government,176,"$114,726","$119,178",93,"$123,102","$122,810"
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wages - No NAICS Code,15,"$137,071","$160,526",5,"$117,600","$172,042"
55,1,FTF + FTT,4011,4011,Biology,Utilities,1,,,,,
55,1,FTF + FTT,4011,4011,Biology,Construction,1,,,1,,
55,1,FTF + FTT,4011,4011,Biology,Manufacturing,21,"$62,864","$60,281",11,"$82,506","$85,310"
55,1,FTF + FTT,4011,4011,Biology,Wholesale Trade,8,"$65,759","$67,053",2,,
55,1,FTF + FTT,4011,4011,Biology,Retail Trade,18,"$28,504","$34,427",4,,
55,1,FTF + FTT,4011,4011,Biology,Transportation & Warehousing,5,"$34,988","$32,459",2,,
55,1,FTF + FTT,4011,4011,Biology,Information,2,,,1,,
55,1,FTF + FTT,4011,4011,Biology,Finance & Insurance,6,"$58,580","$64,652",4,,
55,1,FTF + FTT,4011,4011,Biology,Real Estate & Rental & Leasing,2,,,,,
55,1,FTF + FTT,4011,4011,Biology,"Professional, Scientific, & Technical Skills",14,"$57,529","$69,297",8,"$54,456","$59,585"
55,1,FTF + FTT,4011,4011,Biology,Admin & Support & Waste Mgmt & Remediation,11,"$33,055","$35,111",7,"$25,892","$67,350"
55,1,FTF + FTT,4011,4011,Biology,Educational Services,34,"$55,553","$48,779",15,"$60,090","$57,819"
55,1,FTF + FTT,4011,4011,Biology,Health Care & Social Assistance,45,"$46,427","$57,690",25,"$69,712","$80,655"
55,1,FTF + FTT,4011,4011,Biology,"Arts, Entertainment, & Recreation",2,,,1,,
55,1,FTF + FTT,4011,4011,Biology,Accommodation & Food Services,4,,,1,,
55,1,FTF + FTT,4011,4011,Biology,Other Services,3,,,1,,
55,1,FTF + FTT,4011,4011,Biology,Government,20,"$74,345","$76,535",16,"$85,640","$82,241"
55,1,FTF + FTT,4011,4011,Biology,Wages - No NAICS Code,7,"$24,570","$36,986",2,,
55,1,FTF + FTT,4111,4111,Microbiology,Manufacturing,,,,1,,
55,1,FTF + FTT,4111,4111,Microbiology,"Professional, Scientific, & Technical Skills",1,,,,,
55,1,FTF + FTT,4111,4111,Microbiology,Health Care & Social Assistance,3,,,1,,
55,1,FTF + FTT,4111,4111,Microbiology,Government,1,,,,,
55,1,FTF + FTT,4141,4141,Biochemistry,Manufacturing,3,,,1,,
55,1,FTF + FTT,4141,4141,Biochemistry,Wholesale Trade,2,,,,,
55,1,FTF + FTT,4141,4141,Biochemistry,Retail Trade,1,,,,,
55,1,FTF + FTT,4141,4141,Biochemistry,"Professional, Scientific, & Technical Skills",5,"$53,505","$62,477",,,
55,1,FTF + FTT,4141,4141,Biochemistry,Admin & Support & Waste Mgmt & Remediation,1,,,,,
55,1,FTF + FTT,4141,4141,Biochemistry,Health Care & Social Assistance,5,"$32,629","$35,766",2,,
55,1,FTF + FTT,4141,4141,Biochemistry,Accommodation & Food Services,1,,,,,
55,1,FTF + FTT,4141,4141,Biochemistry,Government,1,,,1,,
55,1,FTF + FTT,4141,4141,Biochemistry,Wages - No NAICS Code,1,,,,,
55,1,FTF + FTT,4152,4152,Biomedical Physics,Retail Trade,1,,,,,
55,1,FTF + FTT,4152,4152,Biomedical Physics,Information,1,,,,,
55,1,FTF + FTT,4152,4152,Biomedical Physics,Admin & Support & Waste Mgmt & Remediation,,,,1,,
55,1,FTF + FTT,4152,4152,Biomedical Physics,Educational Services,1,,,,,
55,1,FTF + FTT,4152,4152,Biomedical Physics,Health Care & Social Assistance,4,,,4,,
55,1,FTF + FTT,4152,4152,Biomedical Physics,Government,1,,,,,
55,1,FTF + FTT,5011,5011,Business Administration,"Agriculture, Forestry, Fishing, & Hunting",7,"$19,909","$30,288",4,,
55,1,FTF + FTT,5011,5011,Business Administration,Mining,,,,2,,
55,1,FTF + FTT,5011,5011,Business Administration,Utilities,22,"$83,298","$75,746",21,"$89,047","$94,477"
