Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
50,1,FTF + FTT,0,0,Undeclared/Unknown,Manufacturing,,,,1,,
50,1,FTF + FTT,0,0,Undeclared/Unknown,Retail Trade,1,,,,,
50,1,FTF + FTT,0,0,Undeclared/Unknown,Transportation & Warehousing,1,,,1,,
50,1,FTF + FTT,0,0,Undeclared/Unknown,"Professional, Scientific, & Technical Skills",2,,,2,,
50,1,FTF + FTT,0,0,Undeclared/Unknown,Admin & Support & Waste Mgmt & Remediation,1,,,,,
50,1,FTF + FTT,0,0,Undeclared/Unknown,Health Care & Social Assistance,2,,,2,,
50,1,FTF + FTT,0,0,Undeclared/Unknown,Accommodation & Food Services,1,,,,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Agriculture, Forestry, Fishing, & Hunting",1,,,,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Manufacturing,2,,,,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wholesale Trade,2,,,1,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Retail Trade,1,,,1,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Finance & Insurance,6,"$85,510","$89,164",3,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Professional, Scientific, & Technical Skills",4,,,1,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Admin & Support & Waste Mgmt & Remediation,11,"$73,965","$68,323",4,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Educational Services,67,"$101,310","$97,197",37,"$106,622","$104,407"
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Health Care & Social Assistance,685,"$110,628","$112,941",288,"$122,147","$121,392"
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Arts, Entertainment, & Recreation",3,,,2,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Accommodation & Food Services,2,,,,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Other Services,1,,,,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Government,55,"$107,136","$116,001",22,"$120,473","$124,245"
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wages - No NAICS Code,2,,,2,,
50,1,FTF + FTT,03011 + 03021 + 03071,3071,Asian/East Asian Studies,"Professional, Scientific, & Technical Skills",1,,,,,
50,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Retail Trade,1,,,,,
50,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Transportation & Warehousing,1,,,1,,
50,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Information,1,,,,,
50,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Finance & Insurance,2,,,,,
50,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Admin & Support & Waste Mgmt & Remediation,,,,1,,
50,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Educational Services,3,,,,,
50,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Health Care & Social Assistance,2,,,,,
50,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Accommodation & Food Services,1,,,1,,
50,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Non-Classified,1,,,,,
50,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Government,1,,,,,
50,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Wages - No NAICS Code,2,,,2,,
50,1,FTF + FTT,03101 + 03121 + 03122,3122,European Studies,Information,1,,,,,
50,1,FTF + FTT,03101 + 03121 + 03122,3122,European Studies,Admin & Support & Waste Mgmt & Remediation,2,,,1,,
50,1,FTF + FTT,03101 + 03121 + 03122,3122,European Studies,Educational Services,,,,1,,
50,1,FTF + FTT,3131,3131,American Studies,Utilities,1,,,,,
50,1,FTF + FTT,3131,3131,American Studies,Construction,6,"$23,093","$42,975",6,"$50,677","$57,487"
50,1,FTF + FTT,3131,3131,American Studies,Manufacturing,9,"$31,702","$41,179",6,"$54,733","$52,757"
50,1,FTF + FTT,3131,3131,American Studies,Wholesale Trade,14,"$52,992","$55,831",12,"$55,062","$60,938"
50,1,FTF + FTT,3131,3131,American Studies,Retail Trade,30,"$42,945","$41,680",17,"$55,679","$58,575"
50,1,FTF + FTT,3131,3131,American Studies,Transportation & Warehousing,6,"$40,914","$35,747",4,,
50,1,FTF + FTT,3131,3131,American Studies,Information,6,"$62,511","$54,561",6,"$81,092","$106,766"
50,1,FTF + FTT,3131,3131,American Studies,Finance & Insurance,22,"$56,505","$68,059",13,"$53,184","$61,043"
50,1,FTF + FTT,3131,3131,American Studies,Real Estate & Rental & Leasing,9,"$51,248","$45,977",7,"$51,672","$60,474"
50,1,FTF + FTT,3131,3131,American Studies,"Professional, Scientific, & Technical Skills",24,"$51,618","$51,675",12,"$67,024","$69,535"
50,1,FTF + FTT,3131,3131,American Studies,Management of Companies & Enterprises,2,,,1,,
50,1,FTF + FTT,3131,3131,American Studies,Admin & Support & Waste Mgmt & Remediation,21,"$46,446","$45,392",11,"$26,129","$50,912"
50,1,FTF + FTT,3131,3131,American Studies,Educational Services,66,"$51,971","$48,380",55,"$67,611","$61,369"
50,1,FTF + FTT,3131,3131,American Studies,Health Care & Social Assistance,14,"$49,944","$44,552",10,"$59,963","$51,254"
50,1,FTF + FTT,3131,3131,American Studies,"Arts, Entertainment, & Recreation",8,"$28,154","$27,225",10,"$30,853","$34,787"
50,1,FTF + FTT,3131,3131,American Studies,Accommodation & Food Services,14,"$37,301","$35,403",6,"$32,789","$41,406"
50,1,FTF + FTT,3131,3131,American Studies,Other Services,11,"$39,844","$39,335",5,"$36,404","$30,225"
50,1,FTF + FTT,3131,3131,American Studies,Government,21,"$66,462","$70,260",15,"$98,992","$88,159"
50,1,FTF + FTT,3131,3131,American Studies,Wages - No NAICS Code,6,"$62,683","$71,445",3,,
50,1,FTF + FTT,4011,4011,Biology,"Agriculture, Forestry, Fishing, & Hunting",2,,,1,,
50,1,FTF + FTT,4011,4011,Biology,Utilities,3,,,3,,
50,1,FTF + FTT,4011,4011,Biology,Construction,6,"$48,996","$53,839",3,,
50,1,FTF + FTT,4011,4011,Biology,Manufacturing,65,"$63,452","$68,287",36,"$89,393","$90,269"
50,1,FTF + FTT,4011,4011,Biology,Wholesale Trade,42,"$70,298","$67,792",18,"$97,787","$95,207"
50,1,FTF + FTT,4011,4011,Biology,Retail Trade,61,"$38,634","$47,519",31,"$92,979","$98,361"
50,1,FTF + FTT,4011,4011,Biology,Transportation & Warehousing,7,"$63,010","$54,461",4,,
50,1,FTF + FTT,4011,4011,Biology,Information,7,"$42,084","$55,159",3,,
50,1,FTF + FTT,4011,4011,Biology,Finance & Insurance,26,"$60,368","$59,417",19,"$67,568","$70,135"
50,1,FTF + FTT,4011,4011,Biology,Real Estate & Rental & Leasing,5,"$38,390","$50,434",2,,
50,1,FTF + FTT,4011,4011,Biology,"Professional, Scientific, & Technical Skills",86,"$57,900","$58,108",52,"$71,740","$74,362"
50,1,FTF + FTT,4011,4011,Biology,Management of Companies & Enterprises,,,,2,,
50,1,FTF + FTT,4011,4011,Biology,Admin & Support & Waste Mgmt & Remediation,50,"$43,683","$49,330",26,"$59,434","$72,148"
50,1,FTF + FTT,4011,4011,Biology,Educational Services,98,"$54,783","$52,809",63,"$78,737","$73,874"
50,1,FTF + FTT,4011,4011,Biology,Health Care & Social Assistance,150,"$52,817","$54,562",85,"$82,298","$90,641"
50,1,FTF + FTT,4011,4011,Biology,"Arts, Entertainment, & Recreation",6,"$20,314","$22,227",5,"$36,235","$38,970"
50,1,FTF + FTT,4011,4011,Biology,Accommodation & Food Services,15,"$41,349","$43,650",10,"$43,724","$55,412"
50,1,FTF + FTT,4011,4011,Biology,Other Services,15,"$42,665","$40,644",6,"$70,524","$68,320"
50,1,FTF + FTT,4011,4011,Biology,Non-Classified,1,,,,,
50,1,FTF + FTT,4011,4011,Biology,Government,37,"$61,544","$60,623",22,"$93,318","$88,611"
50,1,FTF + FTT,4011,4011,Biology,Wages - No NAICS Code,12,"$57,971","$58,709",5,"$70,292","$72,972"
50,1,FTF + FTT,4141,4141,Biochemistry,"Agriculture, Forestry, Fishing, & Hunting",1,,,,,
50,1,FTF + FTT,4141,4141,Biochemistry,Utilities,2,,,1,,
50,1,FTF + FTT,4141,4141,Biochemistry,Construction,1,,,1,,
50,1,FTF + FTT,4141,4141,Biochemistry,Manufacturing,44,"$62,937","$65,414",18,"$88,551","$87,618"
50,1,FTF + FTT,4141,4141,Biochemistry,Wholesale Trade,6,"$57,888","$55,003",3,,
50,1,FTF + FTT,4141,4141,Biochemistry,Retail Trade,20,"$36,499","$51,168",11,"$127,778","$106,094"
50,1,FTF + FTT,4141,4141,Biochemistry,Transportation & Warehousing,2,,,1,,
50,1,FTF + FTT,4141,4141,Biochemistry,Information,,,,1,,
50,1,FTF + FTT,4141,4141,Biochemistry,Finance & Insurance,2,,,2,,
50,1,FTF + FTT,4141,4141,Biochemistry,Real Estate & Rental & Leasing,3,,,1,,
50,1,FTF + FTT,4141,4141,Biochemistry,"Professional, Scientific, & Technical Skills",31,"$44,398","$46,321",12,"$72,389","$67,038"
50,1,FTF + FTT,4141,4141,Biochemistry,Admin & Support & Waste Mgmt & Remediation,9,"$35,017","$30,212",3,,
50,1,FTF + FTT,4141,4141,Biochemistry,Educational Services,13,"$35,612","$32,687",5,"$59,531","$69,312"
50,1,FTF + FTT,4141,4141,Biochemistry,Health Care & Social Assistance,41,"$56,975","$63,981",25,"$75,261","$76,563"
50,1,FTF + FTT,4141,4141,Biochemistry,"Arts, Entertainment, & Recreation",1,,,,,
50,1,FTF + FTT,4141,4141,Biochemistry,Accommodation & Food Services,4,,,,,
50,1,FTF + FTT,4141,4141,Biochemistry,Government,10,"$55,172","$54,076",3,,
50,1,FTF + FTT,5011,5011,Business Administration,"Agriculture, Forestry, Fishing, & Hunting",8,"$10,977","$35,662",,,
50,1,FTF + FTT,5011,5011,Business Administration,Utilities,10,"$89,706","$90,570",1,,
50,1,FTF + FTT,5011,5011,Business Administration,Construction,61,"$57,871","$64,179",3,,
50,1,FTF + FTT,5011,5011,Business Administration,Manufacturing,131,"$61,850","$65,330",8,"$60,277","$57,946"
50,1,FTF + FTT,5011,5011,Business Administration,Wholesale Trade,151,"$55,779","$59,715",12,"$91,975","$110,064"
50,1,FTF + FTT,5011,5011,Business Administration,Retail Trade,93,"$52,249","$51,351",10,"$60,290","$54,824"
50,1,FTF + FTT,5011,5011,Business Administration,Transportation & Warehousing,23,"$51,606","$49,332",1,,
50,1,FTF + FTT,5011,5011,Business Administration,Information,30,"$74,341","$76,052",3,,
50,1,FTF + FTT,5011,5011,Business Administration,Finance & Insurance,157,"$68,550","$68,949",10,"$78,250","$71,964"
50,1,FTF + FTT,5011,5011,Business Administration,Real Estate & Rental & Leasing,68,"$68,519","$74,867",3,,
