Campus,Select Student Path,Select Entry Status,HEGIS At Exit,HEGIS for Tableau,Select Major at Exit,Potential # of Students,Number of Students Still Enrolled,# of Students Found with Earnings in at Least 1 Qtr,Median Annual Earnings in at Least 1 Qtr,# of Students Found with Earnings in all 4 Qtrs,Median Annual Earnings in all 4 Qtrs,Year
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","5,510","4,488","$72,142","3,664","$80,599",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","4,090","3,451","$78,226","2,917","$85,842",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","2,435","1,972","$74,397","1,610","$86,456",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","1,455","1,172","$57,962",910,"$83,822",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",835,699,"$61,969",568,"$81,038",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",425,362,"$76,835",310,"$89,325",6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",241,214,"$92,051",189,"$98,504",7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",160,145,"$93,772",130,"$103,204",8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",119,108,"$94,847",101,"$102,120",9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",87,76,"$95,458",69,"$96,906",10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",64,56,"$94,222",48,"$104,120",11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",45,38,"$101,952",36,"$106,463",12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",29,26,"$103,595",25,"$103,618",13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",20,19,"$97,521",19,"$97,521",14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",16,15,"$104,169",14,"$104,890",15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,307,223,"$8,154",114,"$14,743",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,267,197,"$7,934",97,"$16,236",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,165,116,"$11,292",73,"$15,977",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,85,63,"$13,249",43,"$15,605",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,33,22,"$15,844",18,"$21,754",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,13,12,"$23,491",8,"$27,273",6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,4,4,,3,,7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,2,2,,,,8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,1,1,,,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124","1,124",783,"$6,617",413,"$12,810",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",970,698,"$8,469",433,"$12,909",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",758,557,"$8,714",343,"$13,026",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",498,378,"$10,034",249,"$13,573",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",234,182,"$11,541",131,"$13,707",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",87,71,"$14,736",56,"$17,961",6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",28,21,"$18,875",16,"$18,992",7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",5,4,,2,,8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",1,1,,,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",1,1,,1,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",,,,,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",,,,,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",,,,,,15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,431,303,"$6,076",143,"$13,075",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,315,240,"$8,421",133,"$13,229",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,230,174,"$8,035",91,"$13,603",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,116,87,"$11,242",59,"$14,460",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,41,33,"$15,273",32,"$15,364",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,15,12,"$17,932",9,"$20,604",6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,7,6,"$7,820",3,,7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,4,3,,2,,8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,285,151,"$5,492",66,"$11,313",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,265,149,"$6,110",69,"$11,839",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,176,116,"$5,569",50,"$12,543",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,96,66,"$7,299",36,"$10,855",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,36,29,"$7,390",15,"$8,515",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,13,8,"$8,596",2,,6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,5,3,,,,7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,2,1,,,,8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,,,,,,15
