Campus,Location,Select Student Path,Select Entry Status,HEGIS At Exit,HEGIS for Tableau,Select Major at Exit,Potential # of Students,Number of Students Still Enrolled,# of Students Found with Earnings in at Least 1 Qtr,Median Annual Earnings in at Least 1 Qtr,# of Students Found with Earnings in all 4 Qtrs,Median Annual Earnings in all 4 Qtrs,Year
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873","1,873","1,772","$85,536","1,624","$87,910",1
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873","1,544","1,466","$91,436","1,375","$93,037",2
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873",995,937,"$94,054",892,"$95,321",3
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873",563,521,"$97,316",490,"$98,512",4
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873",348,321,"$96,989",303,"$98,856",5
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873",207,187,"$99,477",177,"$100,583",6
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873",137,125,"$104,134",109,"$106,467",7
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873",100,90,"$106,047",81,"$107,905",8
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873",71,63,"$107,088",59,"$107,189",9
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873",53,44,"$98,923",41,"$100,461",10
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873",37,30,"$93,867",26,"$104,120",11
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873",30,25,"$108,449",24,"$109,596",12
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873",18,16,"$95,855",15,"$99,875",13
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873",12,12,"$97,022",12,"$97,022",14
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,873",9,9,"$75,614",8,"$90,613",15
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,677,406,"$9,247",248,"$15,244",1
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,460,291,"$9,390",176,"$15,585",2
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,295,191,"$11,035",120,"$16,589",3
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,185,119,"$12,697",87,"$15,823",4
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,114,78,"$14,046",52,"$18,931",5
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,59,45,"$12,928",31,"$18,829",6
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,27,22,"$20,835",16,"$34,213",7
55,Dominguez Hills,1,FTF + FTT,04011,04011,Biology,677,18,14,"$30,798",11,"$42,539",8
