Campus,Location,Select Student Path,Select Entry Status,HEGIS At Exit,HEGIS for Tableau,Select Major at Exit,Potential # of Students,Number of Students Still Enrolled,# of Students Found with Earnings in at Least 1 Qtr,Median Annual Earnings in at Least 1 Qtr,# of Students Found with Earnings in all 4 Qtrs,Median Annual Earnings in all 4 Qtrs,Year
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453","1,453",853,"$9,617",461,"$16,688",1
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453",963,592,"$7,957",332,"$13,548",2
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453",686,407,"$7,324",211,"$12,575",3
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453",475,311,"$7,293",155,"$11,763",4
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453",264,194,"$8,040",123,"$11,689",5
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453",105,78,"$10,122",53,"$13,990",6
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453",30,22,"$16,398",19,"$16,480",7
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453",8,7,"$20,364",6,"$37,592",8
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453",4,4,,4,,9
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453",3,3,,3,,10
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453",2,2,,2,,11
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453",1,1,,1,,12
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453",,,,,,13
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453",,,,,,14
40,Long Beach,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"1,453",,,,,,15
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,237,137,"$7,890",79,"$13,001",1
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,236,143,"$8,106",86,"$12,597",2
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,230,148,"$9,276",87,"$12,627",3
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,165,112,"$7,726",61,"$12,278",4
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,74,53,"$8,211",29,"$11,747",5
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,17,14,"$9,514",10,"$14,117",6
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,2,2,,1,,7
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,8
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,9
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,10
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,11
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,12
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,13
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,14
40,Long Beach,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,15
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,132,65,"$5,939",34,"$11,437",1
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,113,57,"$7,755",34,"$10,690",2
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,85,44,"$7,943",23,"$11,350",3
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,47,26,"$10,131",15,"$12,570",4
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,19,14,"$11,952",12,"$15,580",5
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,8,5,"$11,741",4,,6
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,4,3,,2,,7
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,2,1,,1,,8
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,1,,,,,9
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,,,,,,10
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,,,,,,11
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,,,,,,12
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,,,,,,13
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,,,,,,14
40,Long Beach,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,132,,,,,,15
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,33,17,"$12,231",9,"$14,286",1
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,28,14,"$14,165",13,"$16,051",2
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,19,10,"$15,022",7,"$15,756",3
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,13,7,"$15,951",4,,4
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,6,4,,1,,5
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,2,2,,1,,6
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,1,1,,1,,7
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,,,,,,8
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,,,,,,9
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,,,,,,10
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,,,,,,11
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,,,,,,12
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,,,,,,13
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,,,,,,14
40,Long Beach,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,33,,,,,,15
40,Long Beach,1,FTF + FTT,03131,03131,American Studies,240,240,161,"$6,093",86,"$15,000",1
40,Long Beach,1,FTF + FTT,03131,03131,American Studies,240,210,146,"$8,535",95,"$13,278",2
40,Long Beach,1,FTF + FTT,03131,03131,American Studies,240,167,129,"$8,535",89,"$11,481",3
40,Long Beach,1,FTF + FTT,03131,03131,American Studies,240,136,106,"$11,828",80,"$13,322",4
40,Long Beach,1,FTF + FTT,03131,03131,American Studies,240,73,64,"$12,907",49,"$16,154",5
