Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year,% students found ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,182,"$81,052","$95,936","$112,601","$97,992",170,1,93.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,175,"$84,390","$101,676","$125,074","$103,230",161,2,92.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,156,"$83,877","$105,212","$125,459","$103,888",143,3,91.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,134,"$87,893","$107,723","$131,048","$108,176",121,4,90.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,106,"$88,820","$116,411","$140,791","$111,854",95,5,89.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,90,"$89,464","$117,652","$142,266","$114,451",79,6,87.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,67,"$85,443","$121,103","$143,384","$114,331",62,7,92.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,51,"$97,255","$126,160","$150,674","$118,973",47,8,92.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,34,"$101,881","$130,699","$158,008","$126,188",31,9,91.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,19,"$105,132","$130,609","$157,710","$123,481",17,10,89.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,10,"$81,234","$115,312","$140,370","$118,290",8,11,80.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,1, , , ,,1,12,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,00121+12032,12032,Nursing,201,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,04011,04011,Biology,"1,797","1,594","$10,347","$21,277","$36,464","$26,346","1,221",1,76.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,04011,04011,Biology,"1,797","1,415","$13,785","$29,076","$47,939","$33,821","1,065",2,75.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,04011,04011,Biology,"1,797","1,254","$17,348","$37,104","$56,649","$40,578",880,3,70.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,04011,04011,Biology,"1,797","1,131","$18,868","$42,858","$62,868","$44,894",788,4,69.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,FTF + FTT,04011,04011,Biology,"1,797","1,040","$21,900","$49,103","$68,629","$51,105",721,5,69.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
