Campus,Location,Student Path,Entry Stat,HEGIS At Exit,HEGIS for Tableau,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year,% students found
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,141,"$42,901","$57,510","$71,370","$53,781",124,1,87.94%
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,122,"$71,580","$88,971","$100,108","$84,387",107,2,87.70%
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,108,"$77,152","$91,459","$103,068","$87,130",90,3,83.33%
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,100,"$76,213","$93,294","$104,343","$90,163",81,4,81.00%
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,88,"$68,679","$98,956","$115,415","$90,872",71,5,80.68%
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,78,"$88,027","$104,159","$122,134","$105,578",57,6,73.08%
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,65,"$74,676","$97,771","$117,607","$99,732",49,7,75.38%
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,56,"$79,957","$103,375","$127,258","$105,631",38,8,67.86%
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,44,"$76,724","$111,618","$124,548","$104,736",31,9,70.45%
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,7,,,,,,10,
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,7,,,,,,11,
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,7,,,,,,12,
