Campus,Location,Student Path,Entry Stat,HEGIS at Exit,HEGIS For Tableau,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,Finance & Insurance,1,,,,,
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,"Professional, Scientific, & Technical Skills",4,,,,,
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,Management of Companies & Enterprises,,,,1,,
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,Admin & Support & Waste Mgmt & Remediation,,,,1,,
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,Educational Services,15,"$118,949","$127,609",4,,
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,Health Care & Social Assistance,61,"$116,411","$110,120",10,"$152,304","$127,465"
70,Northridge,1,FTF + FTT,00121+12032,12032,Pre-Nursing & Nursing RN-BS,Government,14,"$118,244","$118,624",1,,
70,Northridge,1,FTF + FTT,03085,03085,Latin/Central American Studies,"Agriculture, Forestry, Fishing, & Hunting",1,,,,,
70,Northridge,1,FTF + FTT,03085,03085,Latin/Central American Studies,Retail Trade,3,,,,,
70,Northridge,1,FTF + FTT,03085,03085,Latin/Central American Studies,Real Estate & Rental & Leasing,1,,,,,
70,Northridge,1,FTF + FTT,03085,03085,Latin/Central American Studies,"Professional, Scientific, & Technical Skills",1,,,,,
70,Northridge,1,FTF + FTT,03085,03085,Latin/Central American Studies,Admin & Support & Waste Mgmt & Remediation,1,,,,,
70,Northridge,1,FTF + FTT,03085,03085,Latin/Central American Studies,Educational Services,3,,,1,,
70,Northridge,1,FTF + FTT,03085,03085,Latin/Central American Studies,Health Care & Social Assistance,3,,,,,
70,Northridge,1,FTF + FTT,03085,03085,Latin/Central American Studies,Other Services,2,,,,,
70,Northridge,1,FTF + FTT,03085,03085,Latin/Central American Studies,Wages - No NAICS Code,1,,,,,
70,Northridge,1,FTF + FTT,04011,04011,Biology,"Agriculture, Forestry, Fishing, & Hunting",2,,,1,,
70,Northridge,1,FTF + FTT,04011,04011,Biology,Mining,1,,,,,
70,Northridge,1,FTF + FTT,04011,04011,Biology,Utilities,2,,,1,,
70,Northridge,1,FTF + FTT,04011,04011,Biology,Construction,6,"$45,974","$55,212",7,"$55,259","$51,099"
70,Northridge,1,FTF + FTT,04011,04011,Biology,Manufacturing,85,"$67,363","$71,510",60,"$84,254","$91,492"
70,Northridge,1,FTF + FTT,04011,04011,Biology,Wholesale Trade,30,"$58,648","$63,822",14,"$90,727","$93,270"
70,Northridge,1,FTF + FTT,04011,04011,Biology,Retail Trade,91,"$22,920","$36,442",46,"$64,918","$89,961"
70,Northridge,1,FTF + FTT,04011,04011,Biology,Transportation & Warehousing,5,"$39,426","$48,099",3,,
70,Northridge,1,FTF + FTT,04011,04011,Biology,Information,10,"$33,286","$47,326",9,"$38,921","$51,600"
70,Northridge,1,FTF + FTT,04011,04011,Biology,Finance & Insurance,29,"$58,592","$58,202",14,"$60,392","$55,909"
70,Northridge,1,FTF + FTT,04011,04011,Biology,Real Estate & Rental & Leasing,3,,,3,,
70,Northridge,1,FTF + FTT,04011,04011,Biology,"Professional, Scientific, & Technical Skills",54,"$47,012","$50,457",22,"$75,397","$75,247"
70,Northridge,1,FTF + FTT,04011,04011,Biology,Management of Companies & Enterprises,2,,,2,,
70,Northridge,1,FTF + FTT,04011,04011,Biology,Admin & Support & Waste Mgmt & Remediation,35,"$40,602","$43,742",18,"$52,649","$55,016"
70,Northridge,1,FTF + FTT,04011,04011,Biology,Educational Services,75,"$53,843","$47,249",50,"$66,207","$58,345"
70,Northridge,1,FTF + FTT,04011,04011,Biology,Health Care & Social Assistance,195,"$48,945","$54,088",123,"$64,172","$89,888"
70,Northridge,1,FTF + FTT,04011,04011,Biology,"Arts, Entertainment, & Recreation",6,"$15,611","$14,642",6,"$36,162","$47,221"
70,Northridge,1,FTF + FTT,04011,04011,Biology,Accommodation & Food Services,16,"$25,069","$26,287",5,"$51,970","$52,390"
70,Northridge,1,FTF + FTT,04011,04011,Biology,Other Services,14,"$48,146","$41,538",6,"$54,318","$52,845"
70,Northridge,1,FTF + FTT,04011,04011,Biology,Non-Classified,3,,,,,
70,Northridge,1,FTF + FTT,04011,04011,Biology,Government,37,"$64,422","$61,419",35,"$90,861","$92,489"
70,Northridge,1,FTF + FTT,04011,04011,Biology,Wages - No NAICS Code,20,"$4,710","$18,096",8,"$13,143","$35,702"
70,Northridge,1,FTF + FTT,04111,04111,Microbiology,Utilities,1,,,1,,
70,Northridge,1,FTF + FTT,04111,04111,Microbiology,Manufacturing,20,"$79,764","$76,713",14,"$89,996","$92,040"
70,Northridge,1,FTF + FTT,04111,04111,Microbiology,Wholesale Trade,1,,,1,,
70,Northridge,1,FTF + FTT,04111,04111,Microbiology,Retail Trade,2,,,,,
70,Northridge,1,FTF + FTT,04111,04111,Microbiology,Information,1,,,1,,
70,Northridge,1,FTF + FTT,04111,04111,Microbiology,Finance & Insurance,1,,,2,,
