Campus,Location,Student Path,Entry Stat,HEGIS at Exit,HEGIS For Tableau,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,"Agriculture, Forestry, Fishing, & Hunting",13,"$66,067.00","$60,268.00",10,"$58,584.00","$59,222.00"
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Utilities,1,,,1,,
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Construction,1,,,,,
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Manufacturing,3,,,1,,
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Wholesale Trade,8,"$78,477.00","$79,048.00",10,"$94,985.00","$87,399.00"
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Retail Trade,6,"$22,060.00","$21,901.00",6,"$20,844.00","$27,186.00"
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Transportation & Warehousing,1,,,,,
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Information,2,,,1,,
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Finance & Insurance,1,,,,,
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Real Estate & Rental & Leasing,,,,1,,
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,"Professional, Scientific, & Technical Skills",11,"$54,919.00","$73,879.00",11,"$65,552.00","$71,342.00"
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Admin & Support & Waste Mgmt & Remediation,22,"$61,691.00","$63,756.00",16,"$61,003.00","$58,444.00"
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Educational Services,19,"$61,652.00","$49,002.00",16,"$71,363.00","$64,614.00"
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Health Care & Social Assistance,3,,,3,,
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,"Arts, Entertainment, & Recreation",18,"$74,344.00","$77,999.00",12,"$90,416.00","$103,871.00"
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Accommodation & Food Services,3,,,4,,
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Other Services,6,"$40,660.00","$46,267.00",3,,
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Government,22,"$58,033.00","$61,471.00",14,"$73,785.00","$75,037.00"
10,Pomona ,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,1091,Agriculture/Agricultural Science & Horticulture,Wages - No NAICS Code,7,"$73,775.00","$61,000.00",7,"$46,866.00","$79,202.00"
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,"Agriculture, Forestry, Fishing, & Hunting",10,"$32,351.00","$43,628.00",1,,
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Utilities,1,,,2,,
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Construction,11,"$14,493.00","$35,619.00",4,,
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Manufacturing,24,"$62,260.00","$64,297.00",10,"$53,113.00","$76,761.00"
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Wholesale Trade,23,"$78,331.00","$74,004.00",24,"$98,465.00","$89,622.00"
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Retail Trade,26,"$27,697.00","$32,059.00",18,"$34,254.00","$39,687.00"
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Transportation & Warehousing,,,,4,,
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Information,5,"$24,161.00","$44,748.00",,,
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Finance & Insurance,23,"$44,974.00","$42,448.00",10,"$59,819.00","$68,049.00"
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Real Estate & Rental & Leasing,3,,,2,,
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,"Professional, Scientific, & Technical Skills",317,"$38,250.00","$38,518.00",130,"$45,960.00","$53,380.00"
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Management of Companies & Enterprises,1,,,1,,
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Admin & Support & Waste Mgmt & Remediation,14,"$44,542.00","$42,773.00",12,"$34,852.00","$40,593.00"
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Educational Services,44,"$51,664.00","$50,415.00",29,"$57,578.00","$51,256.00"
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Health Care & Social Assistance,30,"$42,017.00","$45,210.00",22,"$46,738.00","$50,159.00"
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,"Arts, Entertainment, & Recreation",22,"$31,424.00","$31,045.00",10,"$41,960.00","$37,574.00"
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Accommodation & Food Services,17,"$20,436.00","$27,665.00",4,,
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Other Services,27,"$39,778.00","$41,171.00",11,"$32,711.00","$37,793.00"
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Government,45,"$57,569.00","$60,521.00",33,"$67,748.00","$63,937.00"
10,Pomona ,1,FTF + FTT,01041 + 01043,1043,Animal Science/Animal Health Science,Wages - No NAICS Code,8,"$46,896.00","$41,991.00",5,"$61,517.00","$52,371.00"
10,Pomona ,1,FTF + FTT,1121,1121,Agricultural Business,"Agriculture, Forestry, Fishing, & Hunting",10,"$43,126.00","$47,655.00",4,,
10,Pomona ,1,FTF + FTT,1121,1121,Agricultural Business,Utilities,1,,,,,
