guid,entry_status,major,in_school_earning,fin_aid_0,fin_aid_3000,fin_aid_10000,
194b5d39-f5d2-32c2-6ad1-a0f5983092fa,FTF,Accounting,0,0.245072,0.26338,0.32503,
94cd341e-326f-4734-e1d7-e090d14cef19,FTF,Accounting,4500,0.273958,0.29892,0.39324,
71ff4f4e-8aa1-5ca6-5bfa-be6a7d26030f,FTF,Accounting,10500,0.331025,0.37471,0.62479,
42ae05f3-8347-5652-7418-a937f448c720,FTF,Advertising,0,0.189325,0.20403,0.25359,
dc68c85f-be2e-71e7-afad-8ef90039eabf,FTF,Advertising,4500,0.212529,0.23259,0.30849,
ec68a57e-0e22-ab9b-47cb-c3b0856511e7,FTF,Advertising,10500,0.258417,0.29358,0.49194,
9d84ff00-beb0-972b-f484-1393869ff1ce,FTF,Aerospace Engineering,0,0.275623,0.29575,0.36344,
92b4f98e-3058-783d-3451-4d718ee2a25f,FTF,Aerospace Engineering,4500,0.307373,0.33478,0.43826,
9d8a389b-c74f-60f5-bc4e-2f743bc61767,FTF,Aerospace Engineering,10500,0.370019,0.41793,0.69398,
07d5bef1-5d6c-715f-4254-b934a9bec71c,FTF,African-American Studies,0,0.080250,0.09158,0.12934,
813faea3-8cb7-6a86-4c6f-94192094ea94,FTF,African-American Studies,4500,0.098098,0.11342,0.17035,
db5d7a37-46b7-4112-a3b1-071759d3a6b8,FTF,African-American Studies,10500,0.132983,0.15930,0.29783,
420d784a-f2cb-ec97-1419-85bc128551eb,FTF,Agricultural Biology and Plant & Irrigation Science,0,0.214851,0.23008,0.28108,
e3cbf6ce-35b5-0328-5165-b21097ffec6b,FTF,Agricultural Biology and Plant & Irrigation Science,4500,0.238853,0.25952,0.33715,
322e548c-b1cb-3d2e-f3ba-3a6d471a933e,FTF,Agricultural Biology and Plant & Irrigation Science,10500,0.286019,0.32195,0.52344,
ab31958c-242c-29e2-56f0-4a48d99d03aa,FTF,Agricultural Business,0,0.187452,0.20144,0.24839,
93901e60-3c9e-e0fe-a3b4-e96254d56c21,FTF,Agricultural Business,4500,0.209506,0.22852,0.30012,
826fbbf8-cb55-5451-5443-c168283fcbff,FTF,Agricultural Business,10500,0.252946,0.28609,0.47076,
f32975fa-95b8-7983-1343-25434a6bdbb7,FTF,Agriculture/Agricultural Science & Horticulture,0,0.195405,0.21024,0.25992,
8c87b236-95d6-a19b-e254-05ee8a3c382c,FTF,Agriculture/Agricultural Science & Horticulture,4500,0.218795,0.23893,0.31440,
d8e5b60a-1708-ef05-b9e0-cf6a145e8589,FTF,Agriculture/Agricultural Science & Horticulture,10500,0.264733,0.29966,0.49292,
d98c00b1-5fc2-8034-1125-3d6a9a4cf3cf,FTF,American Studies,0,0.155224,0.16702,0.20613,
26b8bcfc-4c77-7307-e0a8-84fbe9a4969b,FTF,American Studies,4500,0.173792,0.18967,0.24850,
8448f19a-50fe-4efb-8b03-86e079cc429a,FTF,American Studies,10500,0.209890,0.23708,0.38327,
